id,name
res_subdistrict_602,ต.จิกเทิง
res_subdistrict_1043,ต.ตาลสุม
res_subdistrict_1563,ต.นาคาย
res_subdistrict_480,ต.คำไหล
res_subdistrict_982,ต.ตะบ่าย
res_subdistrict_1727,ต.นาเลิน
res_subdistrict_3208,ต.ลาดควาย
res_subdistrict_3467,ต.วาริน
res_subdistrict_3559,ต.สงยาง
res_subdistrict_4236,ต.หนามแท่ง
res_subdistrict_5046,ต.เอือดใหญ่
res_subdistrict_5064,ต.แก้งกอก
res_subdistrict_482,ต.คำไฮใหญ่
res_subdistrict_836,ต.ดอนมดแดง
res_subdistrict_1452,ต.ท่าเมือง
res_subdistrict_5039,ต.เหล่าแดง
res_subdistrict_4497,ต.ห้วยไผ่
res_subdistrict_4168,ต.หนองเมือง
res_subdistrict_5659,ต.ไผ่ใหญ่
res_subdistrict_3680,ต.สองคอน
res_subdistrict_900,ต.ดุมใหญ่
res_subdistrict_3025,ต.ม่วงสามสิบ
res_subdistrict_3068,ต.ยางสักกระโพหลุ่ม
res_subdistrict_3082,ต.ยางโยภาพ
res_subdistrict_3970,ต.หนองช้างใหญ่
res_subdistrict_4155,ต.หนองฮาง
res_subdistrict_4220,ต.หนองไข่นก
res_subdistrict_4819,ต.เตย
res_subdistrict_5028,ต.เหล่าบก
res_subdistrict_2174,ต.บุ่งมะแลง
res_subdistrict_5060,ต.แก่งโดม
res_subdistrict_1585,ต.นาจะหลวย
res_subdistrict_2292,ต.บ้านตูม
res_subdistrict_5584,ต.โสกแสง
res_subdistrict_1722,ต.นาเยีย
res_subdistrict_1725,ต.นาเรือง
res_subdistrict_1754,ต.นาโพธิ์กลาง
res_subdistrict_4203,ต.หนองแสงใหญ่
res_subdistrict_5307,ต.โขงเจียม
res_subdistrict_2166,ต.บุเปือย
res_subdistrict_3857,ต.สีวิเชียร
res_subdistrict_4647,ต.เก่าขาม
res_subdistrict_5403,ต.โซง
res_subdistrict_5406,ต.โดมประดิษฐ์
res_subdistrict_3031,ต.ม่วงใหญ่
res_subdistrict_5023,ต.เหล่างาม
res_subdistrict_4015,ต.หนองบก
res_subdistrict_5038,ต.เหล่าเสือโก้ก
res_subdistrict_5111,ต.แพงใหญ่
res_subdistrict_3571,ต.สนามชัย
res_subdistrict_5334,ต.โคกตูม
res_subdistrict_3916,ต.หนองกี่
res_subdistrict_5314,ต.โคกกลาง
res_subdistrict_32,ต.กระสัง
res_subdistrict_110,ต.กันทรารมย์
res_subdistrict_679,ต.ชุมแสง
res_subdistrict_2328,ต.บ้านปรือ
res_subdistrict_3240,ต.ลำดวน
res_subdistrict_3503,ต.ศรีภูมิ
res_subdistrict_3681,ต.สองชั้น
res_subdistrict_3883,ต.สูงเนิน
res_subdistrict_4160,ต.หนองเต็ง
res_subdistrict_4460,ต.ห้วยสำราญ
res_subdistrict_4945,ต.เมืองไผ่
res_subdistrict_837,ต.ดอนมนต์
res_subdistrict_1261,ต.ทุ่งวัง
res_subdistrict_1767,ต.นิคม
res_subdistrict_3177,ต.ร่อนทอง
res_subdistrict_3563,ต.สตึก
res_subdistrict_3719,ต.สะแก
res_subdistrict_4936,ต.เมืองแก
res_subdistrict_61,ต.กลันทา
res_subdistrict_677,ต.ชุมเห็ด
res_subdistrict_1097,ต.ถลุงเหล็ก
res_subdistrict_1870,ต.บัวทอง
res_subdistrict_2790,ต.พระครู
res_subdistrict_3290,ต.ลุมปุ๊ก
res_subdistrict_3671,ต.สวายจีก
res_subdistrict_3684,ต.สองห้อง
res_subdistrict_3721,ต.สะแกซำ
res_subdistrict_3724,ต.สะแกโพรง
res_subdistrict_3986,ต.หนองตาด
res_subdistrict_4271,ต.หลักเขต
res_subdistrict_4536,ต.อิสาณ
res_subdistrict_4909,ต.เมืองฝาง
res_subdistrict_4984,ต.เสม็ด
res_subdistrict_4916,ต.เมืองยาง
res_subdistrict_4222,ต.หนองไทร
res_subdistrict_2526,ต.ปราสาท
res_subdistrict_4370,ต.หายโศก
res_subdistrict_2486,ต.บ้านไทร
res_subdistrict_2516,ต.ประทัดบุ
res_subdistrict_213,ต.ก้านเหลือง
res_subdistrict_4216,ต.หนองโสน
res_subdistrict_4314,ต.หัวถนน
res_subdistrict_208,ต.กู่สวนแตง
res_subdistrict_1132,ต.ทองหลาง
res_subdistrict_4170,ต.หนองเยือง
res_subdistrict_5100,ต.แดงใหญ่
res_subdistrict_1094,ต.ถนนหัก
res_subdistrict_1123,ต.ทรัพย์พระยา
res_subdistrict_1288,ต.ทุ่งแสงทอง
res_subdistrict_1573,ต.นางรอง
res_subdistrict_2375,ต.บ้านสิงห์
res_subdistrict_3278,ต.ลำไทรโยง
res_subdistrict_3708,ต.สะเดา
res_subdistrict_3894,ต.หนองกง
